,latitude,longitude,geometry
454,42.3536303,-71.0590483,POINT (-71.0590483 42.3536303)
455,37.7891288,-122.4020276,POINT (-122.4020276 37.7891288)
458,40.01621,-105.28131,POINT (-105.28131 40.01621)
459,52.6638571,-8.6267726,POINT (-8.626772600000001 52.6638571)
459,51.5001524,-0.1262362,POINT (-0.1262362 51.5001524)
460,37.2906027,-121.9317853,POINT (-121.9317853 37.2906027)
461,37.775196,-122.419204,POINT (-122.419204 37.775196)
462,37.788266,-122.403865,POINT (-122.403865 37.788266)
462,42.398424,-71.130297,POINT (-71.130297 42.398424)
463,37.550954,-122.315396,POINT (-122.315396 37.550954)
465,38.257035,-85.717393,POINT (-85.717393 38.257035)
466,51.500152,-0.126236,POINT (-0.126236 51.500152)
467,30.384453,-97.709809,POINT (-97.70980900000001 30.384453)
468,38.9530391,-77.3479238,POINT (-77.3479238 38.9530391)
470,40.562967,-74.332355,POINT (-74.33235500000001 40.562967)
473,47.680496,-122.120938,POINT (-122.120938 47.680496)
